tran_date,curr_code,std_rate
2015/01/05 上午 12:00:00,AUD,25.869642
2015/01/05 上午 12:00:00,EUR,38.191567
2015/01/05 上午 12:00:00,GBP,48.804425
2015/01/05 上午 12:00:00,JPY,0.267511
2015/01/05 上午 12:00:00,USD,32.005
2015/01/06 上午 12:00:00,AUD,25.865566
2015/01/06 上午 12:00:00,EUR,38.043244
2015/01/06 上午 12:00:00,GBP,48.47714
2015/01/06 上午 12:00:00,JPY,0.270259
2015/01/06 上午 12:00:00,USD,31.996
2015/01/07 上午 12:00:00,AUD,25.853608
2015/01/07 上午 12:00:00,EUR,37.885984
2015/01/07 上午 12:00:00,GBP,48.353511
2015/01/07 上午 12:00:00,JPY,0.26833
2015/01/07 上午 12:00:00,USD,32.001
2015/01/08 上午 12:00:00,AUD,26.001674
2015/01/08 上午 12:00:00,EUR,37.744676
2015/01/08 上午 12:00:00,GBP,48.297054
2015/01/08 上午 12:00:00,JPY,0.267475
2015/01/08 上午 12:00:00,USD,32.006
2015/01/09 上午 12:00:00,AUD,26.197101
2015/01/09 上午 12:00:00,EUR,37.818611
2015/01/09 上午 12:00:00,GBP,48.411782
2015/01/09 上午 12:00:00,JPY,0.269502
2015/01/09 上午 12:00:00,USD,31.936
2015/01/12 上午 12:00:00,AUD,25.984939
2015/01/12 上午 12:00:00,EUR,37.69839
2015/01/12 上午 12:00:00,GBP,48.331923
2015/01/12 上午 12:00:00,JPY,0.26919
2015/01/12 上午 12:00:00,USD,31.856
2015/01/13 上午 12:00:00,AUD,26.015323
2015/01/13 上午 12:00:00,EUR,37.511133
2015/01/13 上午 12:00:00,GBP,48.302792
2015/01/13 上午 12:00:00,JPY,0.270177
2015/01/13 上午 12:00:00,USD,31.862
2015/01/14 上午 12:00:00,AUD,25.94308
2015/01/14 上午 12:00:00,EUR,37.526745
2015/01/14 上午 12:00:00,GBP,48.489686
2015/01/14 上午 12:00:00,JPY,0.271303
2015/01/14 上午 12:00:00,USD,31.832
2015/01/15 上午 12:00:00,AUD,26.118556
2015/01/15 上午 12:00:00,EUR,36.976654
2015/01/15 上午 12:00:00,GBP,48.257505
2015/01/15 上午 12:00:00,JPY,0.273616
2015/01/15 上午 12:00:00,USD,31.786
2015/01/16 上午 12:00:00,AUD,26.015355
2015/01/16 上午 12:00:00,EUR,36.606936
2015/01/16 上午 12:00:00,GBP,47.94534
2015/01/16 上午 12:00:00,JPY,0.269296
2015/01/16 上午 12:00:00,USD,31.645
2015/01/19 上午 12:00:00,AUD,25.907347
2015/01/19 上午 12:00:00,EUR,36.619251
2015/01/19 上午 12:00:00,GBP,47.681382
2015/01/19 上午 12:00:00,JPY,0.268368
2015/01/19 上午 12:00:00,USD,31.552
2015/01/20 上午 12:00:00,AUD,25.898802
2015/01/20 上午 12:00:00,EUR,36.60888
2015/01/20 上午 12:00:00,GBP,48.003592
2015/01/20 上午 12:00:00,JPY,0.266779
2015/01/20 上午 12:00:00,USD,31.696
2015/01/21 上午 12:00:00,AUD,25.510601
2015/01/21 上午 12:00:00,EUR,36.636188
2015/01/21 上午 12:00:00,GBP,47.780708
2015/01/21 上午 12:00:00,JPY,0.267489
2015/01/21 上午 12:00:00,USD,31.553
2015/01/22 上午 12:00:00,AUD,25.293077
2015/01/22 上午 12:00:00,EUR,35.814266
2015/01/22 上午 12:00:00,GBP,47.29651
2015/01/22 上午 12:00:00,JPY,0.26593
2015/01/22 上午 12:00:00,USD,31.51
2015/01/23 上午 12:00:00,AUD,24.872142
2015/01/23 上午 12:00:00,EUR,35.219556
2015/01/23 上午 12:00:00,GBP,47.097709
2015/01/23 上午 12:00:00,JPY,0.266893
2015/01/23 上午 12:00:00,USD,31.432
2015/01/26 上午 12:00:00,AUD,24.836158
2015/01/26 上午 12:00:00,EUR,35.221902
2015/01/26 上午 12:00:00,GBP,47.259212
2015/01/26 上午 12:00:00,JPY,0.264553
2015/01/26 上午 12:00:00,USD,31.339
2015/01/27 上午 12:00:00,AUD,24.862653
2015/01/27 上午 12:00:00,EUR,35.650983
2015/01/27 上午 12:00:00,GBP,47.604603
2015/01/27 上午 12:00:00,JPY,0.265759
2015/01/27 上午 12:00:00,USD,31.325
2015/01/28 上午 12:00:00,AUD,24.714659
