tran_date,curr_code,std_rate
2010/01/11 上午 12:00:00,="PHP ",0.69833900
2010/01/11 上午 12:00:00,="PLN ",11.33542600
2010/01/11 上午 12:00:00,="SEK ",4.52236300
2010/01/11 上午 12:00:00,="SGD ",22.90450500
2010/01/11 上午 12:00:00,="THB ",0.96186400
2010/01/11 上午 12:00:00,="TRY ",21.91724100
2010/01/11 上午 12:00:00,="USD ",31.78000000
2010/01/11 上午 12:00:00,="ZAR ",4.30815900
2010/01/12 上午 12:00:00,="AUD ",29.24680000
2010/01/12 上午 12:00:00,="BRL ",18.20524600
2010/01/12 上午 12:00:00,="CAD ",30.59967300
2010/01/12 上午 12:00:00,="CHF ",31.20950300
2010/01/12 上午 12:00:00,="CNY ",4.65651100
2010/01/12 上午 12:00:00,="COP ",0.01620500
2010/01/12 上午 12:00:00,="DKK ",6.18916000
2010/01/12 上午 12:00:00,="EUR ",46.05417300
2010/01/12 上午 12:00:00,="GBP ",51.38535600
2010/01/12 上午 12:00:00,="HKD ",4.09913200
2010/01/12 上午 12:00:00,="INR ",0.69630900
2010/01/12 上午 12:00:00,="JPY ",0.34941700
2010/01/12 上午 12:00:00,="KRW ",0.02829300
2010/01/12 上午 12:00:00,="MXN ",2.47999000
2010/01/12 上午 12:00:00,="MYR ",9.52081500
2010/01/12 上午 12:00:00,="NOK ",5.61422700
2010/01/12 上午 12:00:00,="NTD ",1.00000000
2010/01/12 上午 12:00:00,="NZD ",23.47691500
2010/01/12 上午 12:00:00,="PHP ",0.69531900
2010/01/12 上午 12:00:00,="PLN ",11.30471900
2010/01/12 上午 12:00:00,="SEK ",4.50449200
2010/01/12 上午 12:00:00,="SGD ",22.86063600
2010/01/12 上午 12:00:00,="THB ",0.96362500
2010/01/12 上午 12:00:00,="TRY ",21.88640300
2010/01/12 上午 12:00:00,="USD ",31.79000000
2010/01/12 上午 12:00:00,="ZAR ",4.27198800
2010/01/13 上午 12:00:00,="AUD ",29.39787800
2010/01/13 上午 12:00:00,="BRL ",18.10415500
2010/01/13 上午 12:00:00,="CAD ",30.85556300
2010/01/13 上午 12:00:00,="CHF ",31.24042400
2010/01/13 上午 12:00:00,="CNY ",4.65943000
2010/01/13 上午 12:00:00,="COP ",0.01611200
2010/01/13 上午 12:00:00,="DKK ",6.20385000
2010/01/13 上午 12:00:00,="EUR ",46.15485900
2010/01/13 上午 12:00:00,="GBP ",51.78505200
2010/01/13 上午 12:00:00,="HKD ",4.10073600
2010/01/13 上午 12:00:00,="INR ",0.69687800
2010/01/13 上午 12:00:00,="JPY ",0.34809600
2010/01/13 上午 12:00:00,="KRW ",0.02834900
2010/01/13 上午 12:00:00,="MXN ",2.50358100
2010/01/13 上午 12:00:00,="MYR ",9.52935900
2010/01/13 上午 12:00:00,="NOK ",5.63949400
2010/01/13 上午 12:00:00,="NTD ",1.00000000
2010/01/13 上午 12:00:00,="NZD ",23.55456500
2010/01/13 上午 12:00:00,="PHP ",0.69338400
2010/01/13 上午 12:00:00,="PLN ",11.39290800
2010/01/13 上午 12:00:00,="SEK ",4.53035800
2010/01/13 上午 12:00:00,="SGD ",22.89570300
2010/01/13 上午 12:00:00,="THB ",0.96420100
2010/01/13 上午 12:00:00,="TRY ",21.90249900
2010/01/13 上午 12:00:00,="USD ",31.80900000
2010/01/13 上午 12:00:00,="ZAR ",4.30142000
2010/01/14 上午 12:00:00,="AUD ",29.58613400
2010/01/14 上午 12:00:00,="BRL ",18.04774100
2010/01/14 上午 12:00:00,="CAD ",31.03195500
2010/01/14 上午 12:00:00,="CHF ",31.16902200
2010/01/14 上午 12:00:00,="CNY ",4.65118000
2010/01/14 上午 12:00:00,="COP ",0.01612400
2010/01/14 上午 12:00:00,="DKK ",6.18837000
2010/01/14 上午 12:00:00,="EUR ",46.04157500
2010/01/14 上午 12:00:00,="GBP ",51.87179300
2010/01/14 上午 12:00:00,="HKD ",4.09319400
2010/01/14 上午 12:00:00,="INR ",0.69501000
2010/01/14 上午 12:00:00,="JPY ",0.34815300
2010/01/14 上午 12:00:00,="KRW ",0.02827600
2010/01/14 上午 12:00:00,="MXN ",2.50671000
2010/01/14 上午 12:00:00,="MYR ",9.51888500
2010/01/14 上午 12:00:00,="NOK ",5.63971900
2010/01/14 上午 12:00:00,="NTD ",1.00000000
2010/01/14 上午 12:00:00,="NZD ",23.58443900
2010/01/14 上午 12:00:00,="PHP ",0.69379500
2010/01/14 上午 12:00:00,="PLN ",11.38335200
2010/01/14 上午 12:00:00,="SEK ",4.53066800
2010/01/14 上午 12:00:00,="SGD ",22.88648600
2010/01/14 上午 12:00:00,="THB ",0.96666700
2010/01/14 上午 12:00:00,="TRY ",21.81724500
2010/01/14 上午 12:00:00,="USD ",31.75500000
2010/01/14 上午 12:00:00,="ZAR ",4.29812800
2010/01/15 上午 12:00:00,="AUD ",29.37724400
2010/01/15 上午 12:00:00,="BRL ",17.96162500
2010/01/15 上午 12:00:00,="CAD ",30.92499000
2010/01/15 上午 12:00:00,="CHF ",31.03656800
2010/01/15 上午 12:00:00,="CNY ",4.66214500
2010/01/15 上午 12:00:00,="COP ",0.01615000
2010/01/15 上午 12:00:00,="DKK ",6.15259700
2010/01/15 上午 12:00:00,="EUR ",45.79094400
2010/01/15 上午 12:00:00,="GBP ",51.76505900
2010/01/15 上午 12:00:00,="HKD ",4.10133500
2010/01/15 上午 12:00:00,="INR ",0.69844200
2010/01/15 上午 12:00:00,="JPY ",0.35060600
2010/01/15 上午 12:00:00,="KRW ",0.02823800
2010/01/15 上午 12:00:00,="MXN ",2.50740500
2010/01/15 上午 12:00:00,="MYR ",9.51879700
2010/01/15 上午 12:00:00,="NOK ",5.60510000
2010/01/15 上午 12:00:00,="NTD ",1.00000000
2010/01/15 上午 12:00:00,="NZD ",23.48588100
2010/01/15 上午 12:00:00,="PHP ",0.69425200
2010/01/15 上午 12:00:00,="PLN ",11.30014900
2010/01/15 上午 12:00:00,="SEK ",4.50572600
2010/01/15 上午 12:00:00,="SGD ",22.88302500
2010/01/15 上午 12:00:00,="THB ",0.96800500
2010/01/15 上午 12:00:00,="TRY ",21.83889100
2010/01/15 上午 12:00:00,="USD ",31.82800000
2010/01/15 上午 12:00:00,="ZAR ",4.30172100
2010/01/18 上午 12:00:00,="AUD ",29.44707700
2010/01/18 上午 12:00:00,="BRL ",18.06250000
2010/01/18 上午 12:00:00,="CAD ",30.98440500
2010/01/18 上午 12:00:00,="CHF ",31.02371400
2010/01/18 上午 12:00:00,="CNY ",4.65664700
2010/01/18 上午 12:00:00,="COP ",0.01613800
2010/01/18 上午 12:00:00,="DKK ",6.14430100
2010/01/18 上午 12:00:00,="EUR ",45.72991500
2010/01/18 上午 12:00:00,="GBP ",51.95439700
2010/01/18 上午 12:00:00,="HKD ",4.09501400
2010/01/18 上午 12:00:00,="INR ",0.69845100
2010/01/18 上午 12:00:00,="JPY ",0.35014900
2010/01/18 上午 12:00:00,="KRW ",0.02826800
2010/01/18 上午 12:00:00,="MXN ",2.50979000
2010/01/18 上午 12:00:00,="MYR ",9.51511500
2010/01/18 上午 12:00:00,="NOK ",5.62346300
2010/01/18 上午 12:00:00,="NTD ",1.00000000
2010/01/18 上午 12:00:00,="NZD ",23.49281000
2010/01/18 上午 12:00:00,="PHP ",0.69346900
2010/01/18 上午 12:00:00,="PLN ",11.37673100
2010/01/18 上午 12:00:00,="SEK ",4.52365700
2010/01/18 上午 12:00:00,="SGD ",22.87050400
2010/01/18 上午 12:00:00,="THB ",0.96773200
2010/01/18 上午 12:00:00,="TRY ",21.90902800
2010/01/18 上午 12:00:00,="USD ",31.79000000
2010/01/18 上午 12:00:00,="ZAR ",4.29774600
2010/01/19 上午 12:00:00,="AUD ",29.35776000
2010/01/19 上午 12:00:00,="BRL ",17.95291600
2010/01/19 上午 12:00:00,="CAD ",30.83187900
2010/01/19 上午 12:00:00,="CHF ",30.79604900
2010/01/19 上午 12:00:00,="CNY ",4.65770300
2010/01/19 上午 12:00:00,="COP ",0.01625100
2010/01/19 上午 12:00:00,="DKK ",6.10458400
2010/01/19 上午 12:00:00,="EUR ",45.43266000
2010/01/19 上午 12:00:00,="GBP ",52.02798000
2010/01/19 上午 12:00:00,="HKD ",4.09624900
2010/01/19 上午 12:00:00,="INR ",0.69371700
2010/01/19 上午 12:00:00,="JPY ",0.34891400
2010/01/19 上午 12:00:00,="KRW ",0.02818100
2010/01/19 上午 12:00:00,="MXN ",2.51584300
2010/01/19 上午 12:00:00,="MYR ",9.49877500
2010/01/19 上午 12:00:00,="NOK ",5.59199500
2010/01/19 上午 12:00:00,="NTD ",1.00000000
2010/01/19 上午 12:00:00,="NZD ",23.38254000
2010/01/19 上午 12:00:00,="PHP ",0.69220700
2010/01/19 上午 12:00:00,="PLN ",11.34822600
2010/01/19 上午 12:00:00,="SEK ",4.50482400
2010/01/19 上午 12:00:00,="SGD ",22.85139400
2010/01/19 上午 12:00:00,="THB ",0.96568500
2010/01/19 上午 12:00:00,="TRY ",21.83616000
2010/01/19 上午 12:00:00,="USD ",31.80000000
2010/01/19 上午 12:00:00,="ZAR ",4.29596200
2010/01/20 上午 12:00:00,="AUD ",29.11729800
2010/01/20 上午 12:00:00,="BRL ",17.88149800
2010/01/20 上午 12:00:00,="CAD ",30.56856200
