tran_date	curr_code	std_rate
2016/1/12	JPY 	0.286162
2016/1/12	KRW 	0.027816
2016/1/12	MXN 	1.880954
2016/1/12	MYR 	7.631645
2016/1/12	NOK 	3.790646
2016/1/12	NTD 	1
2016/1/12	NZD 	22.011485
2016/1/12	PEN 	9.825765
2016/1/12	PHP 	0.710634
2016/1/12	PLN 	8.386767
2016/1/12	RUB 	0.437447
2016/1/12	SEK 	3.94731
2016/1/12	SGD 	23.41075
2016/1/12	THB 	0.927108
2016/1/12	TRY 	11.096572
2016/1/12	USD 	33.667
2016/1/12	UST 	33.667
2016/1/12	ZAR 	2.019313
2016/1/13	AUD 	23.392913
2016/1/13	AUT 	23.392913
2016/1/13	BRL 	8.373176
2016/1/13	CAD 	23.448396
2016/1/13	CHF 	33.424453
2016/1/13	CNH 	5.119909
2016/1/13	CNT 	5.119909
2016/1/13	CNY 	5.112747
2016/1/13	COP 	0.010332
2016/1/13	DKK 	4.901103
2016/1/13	EGP 	4.294326
2016/1/13	EUR 	36.573913
2016/1/13	GBP 	48.443538
2016/1/13	HKD 	4.332169
2016/1/13	HUF 	0.115721
2016/1/13	IDR 	0.002424
2016/1/13	INR 	0.502448
2016/1/13	JPY 	0.285732
2016/1/13	KRW 	0.027799
2016/1/13	MXN 	1.873593
2016/1/13	MYR 	7.674312
2016/1/13	NOK 	3.812704
2016/1/13	NTD 	1
2016/1/13	NZD 	21.906688
2016/1/13	PEN 	9.810357
2016/1/13	PHP 	0.70891
2016/1/13	PLN 	8.40562
2016/1/13	RUB 	0.43878
2016/1/13	SEK 	3.942802
2016/1/13	SGD 	23.4027
2016/1/13	THB 	0.926819
2016/1/13	TRY 	11.109092
2016/1/13	USD 	33.625
2016/1/13	UST 	33.625
2016/1/13	ZAR 	2.029392
2016/1/14	AUD 	23.565413
2016/1/14	AUT 	23.565413
2016/1/14	BRL 	8.436344
2016/1/14	CAD 	23.487401
2016/1/14	CHF 	33.57747
2016/1/14	CNH 	5.111572
2016/1/14	CNT 	5.111572
2016/1/14	CNY 	5.119172
2016/1/14	COP 	0.010447
2016/1/14	DKK 	4.912572
2016/1/14	EGP 	4.309818
2016/1/14	EUR 	36.660683
2016/1/14	GBP 	48.62897
2016/1/14	HKD 	4.335458
2016/1/14	HUF 	0.11644
2016/1/14	IDR 	0.002432
2016/1/14	INR 	0.501215
2016/1/14	JPY 	0.285804
2016/1/14	KRW 	0.027938
2016/1/14	MXN 	1.887316
2016/1/14	MYR 	7.693465
2016/1/14	NOK 	3.845242
2016/1/14	NTD 	1
2016/1/14	NZD 	21.841197
2016/1/14	PEN 	9.86464
2016/1/14	PHP 	0.708122
2016/1/14	PLN 	8.343719
2016/1/14	RUB 	0.443548
2016/1/14	SEK 	3.946248
2016/1/14	SGD 	23.484131
2016/1/14	THB 	0.928253
2016/1/14	TRY 	11.1577
2016/1/14	USD 	33.742
2016/1/14	UST 	33.742
2016/1/14	ZAR 	2.050624
2016/1/15	AUD 	23.194932
2016/1/15	AUT 	23.194932
2016/1/15	BRL 	8.350296
2016/1/15	CAD 	23.25239
2016/1/15	CHF 	33.01299
2016/1/15	CNH 	5.111911
2016/1/15	CNT 	5.111911
2016/1/15	CNY 	5.134273
2016/1/15	COP 	0.010239
2016/1/15	DKK 	4.944777
2016/1/15	EGP 	4.31842
2016/1/15	EUR 	36.898263
2016/1/15	GBP 	48.191511
2016/1/15	HKD 	4.336648
2016/1/15	HUF 	0.117019
2016/1/15	IDR 	0.002417
2016/1/15	INR 	0.498695
2016/1/15	JPY 	0.289005
2016/1/15	KRW 	0.02785
2016/1/15	MXN 	1.850623
2016/1/15	MYR 	7.643361
2016/1/15	NOK 	3.830429
2016/1/15	NTD 	1
2016/1/15	NZD 	21.842852
2016/1/15	PEN 	9.857684
2016/1/15	PHP 	0.706637
2016/1/15	PLN 	8.225932
2016/1/15	RUB 	0.434948
2016/1/15	SEK 	3.937654
2016/1/15	SGD 	23.480133
2016/1/15	THB 	0.929674
2016/1/15	TRY 	11.089895
2016/1/15	USD 	33.802
2016/1/15	UST 	33.802
2016/1/15	ZAR 	2.013978
2016/1/18	AUD 	23.219439
2016/1/18	AUT 	23.219439
2016/1/18	BRL 	8.338388
2016/1/18	CAD 	23.225053
2016/1/18	CHF 	33.636364
2016/1/18	CNH 	5.135923
2016/1/18	CNT 	5.135923
2016/1/18	CNY 	5.141154
2016/1/18	COP 	0.010245
2016/1/18	DKK 	4.935637
2016/1/18	EGP 	4.318974
2016/1/18	EUR 	36.834566
2016/1/18	GBP 	48.170359
2016/1/18	HKD 	4.336419
2016/1/18	HUF 	0.116807
2016/1/18	IDR 	0.002431
2016/1/18	INR 	0.499782
2016/1/18	JPY 	0.28823
2016/1/18	KRW 	0.027913
2016/1/18	MXN 	1.857234
2016/1/18	MYR 	7.68853
2016/1/18	NOK 	3.799605
2016/1/18	NTD 	1
2016/1/18	NZD 	21.819374
2016/1/18	PEN 	9.849425
2016/1/18	PHP 	0.707667
2016/1/18	PLN 	8.260179
2016/1/18	RUB 	0.426194
2016/1/18	SEK 	3.942043
2016/1/18	SGD 	23.492879
2016/1/18	THB 	0.931369
2016/1/18	TRY 	11.140099
2016/1/18	USD 	33.818
2016/1/18	UST 	33.818
2016/1/18	ZAR 	2.004422
2016/1/19	AUD 	23.366238
2016/1/19	AUT 	23.366238
2016/1/19	BRL 	8.324718
2016/1/19	CAD 	23.19775
2016/1/19	CHF 	33.705402
2016/1/19	CNH 	5.131317
2016/1/19	CNT 	5.131317
2016/1/19	CNY 	5.138724
2016/1/19	COP 	0.010217
2016/1/19	DKK 	4.943288
2016/1/19	EGP 	4.31923
2016/1/19	EUR 	36.890856
2016/1/19	GBP 	47.882356
2016/1/19	HKD 	4.32514
2016/1/19	HUF 	0.117061
2016/1/19	IDR 	0.002442
2016/1/19	INR 	0.499272
2016/1/19	JPY 	0.287487
2016/1/19	KRW 	0.028009
2016/1/19	MXN 	1.850059
2016/1/19	MYR 	7.751547
2016/1/19	NOK 	3.83895
2016/1/19	NTD 	1
2016/1/19	NZD 	21.675238
2016/1/19	PEN 	9.855748
2016/1/19	PHP 	0.709208
2016/1/19	PLN 	8.291654
2016/1/19	RUB 	0.429568
2016/1/19	SEK 	3.959724
2016/1/19	SGD 	23.535143
2016/1/19	THB 	0.931424
2016/1/19	TRY 	11.125732
2016/1/19	USD 	33.82
2016/1/19	UST 	33.82
2016/1/19	ZAR 	2.014774
2016/1/20	AUD 	23.363618
2016/1/20	AUT 	23.363618
2016/1/20	BRL 	8.256084
2016/1/20	CAD 	23.320234
2016/1/20	CHF 	33.684525
2016/1/20	CNH 	5.122668
2016/1/20	CNT 	5.122668
2016/1/20	CNY 	5.137606
2016/1/20	COP 	0.009966
2016/1/20	DKK 	4.93227
2016/1/20	EGP 	4.321431
2016/1/20	EUR 	36.836514
2016/1/20	GBP 	47.999094
2016/1/20	HKD 	4.326793
2016/1/20	HUF 	0.117004
2016/1/20	IDR 	0.002433
2016/1/20	INR 	0.497569
2016/1/20	JPT 	3955.61244
2016/1/20	JPY 	0.289259
2016/1/20	KRW 	0.027972
2016/1/20	MXN 	1.825916
2016/1/20	MYR 	7.713146
2016/1/20	NOK 	3.808505
2016/1/20	NTD 	1
2016/1/20	NZD 	21.750118
2016/1/20	PEN 	9.81374
2016/1/20	PHP 	0.706696
2016/1/20	PLN 	8.19746
2016/1/20	RUB 	0.415414
2016/1/20	SEK 	3.934354
2016/1/20	SGD 	23.527857
2016/1/20	THB 	0.932616
2016/1/20	TRY 	11.122583
2016/1/20	USD 	33.826
2016/1/20	UST 	33.826
2016/1/20	ZAR 	2.018258
2016/1/21	AUD 	23.683216
2016/1/21	AUT 	23.683216
2016/1/21	BRL 	8.139026
2016/1/21	CAD 	23.71767
2016/1/21	CHF 	33.586104
2016/1/21	CNH 	5.124407
