tran_date,curr_code,std_rate
2016/1/4,AUD ,23.896684
2016/1/5,AUD ,23.824647
2016/1/6,AUD ,23.657962
2016/1/7,AUD ,23.511236
2016/1/8,AUD ,23.293245
2016/1/11,AUD ,23.54224
2016/1/12,AUD ,23.519766
2016/1/13,AUD ,23.392913
2016/1/14,AUD ,23.565413
2016/1/15,AUD ,23.194932
2016/1/18,AUD ,23.219439
2016/1/19,AUD ,23.366238
2016/1/20,AUD ,23.363618
2016/1/21,AUD ,23.683216
2016/1/22,AUD ,23.600241
2016/1/25,AUD ,23.384101
2016/1/26,AUD ,23.624363
2016/1/27,AUD ,23.684646
2016/1/28,AUD ,23.900167
2016/1/29,AUD ,23.80224
2016/1/30,AUD ,23.83766
2016/1/31,AUD ,23.83766
2016/2/1,AUD ,23.946104
2016/2/2,AUD ,23.703984
2016/2/3,AUD ,24.236955
2016/2/4,AUD ,24.19776
2016/2/5,AUD ,23.695288
2016/2/15,AUD ,23.862594
2016/2/16,AUD ,23.788428
2016/2/17,AUD ,24.069992
2016/2/18,AUD ,23.997195
2016/2/19,AUD ,24.009539
2016/2/22,AUD ,24.262228
2016/2/23,AUD ,24.119246
2016/2/24,AUD ,24.099404
2016/2/25,AUD ,24.241055
2016/2/26,AUD ,23.869748
2016/2/29,AUD ,23.869748
2016/3/1,AUD ,23.99033
2016/3/2,AUD ,24.343415
2016/3/3,AUD ,24.393201
2016/3/4,AUD ,24.627144
2016/3/7,AUD ,24.655169
2016/3/8,AUD ,24.594822
2016/3/9,AUD ,24.872235
2016/3/10,AUD ,24.657832
2016/3/11,AUD ,24.92338
2016/3/14,AUD ,24.698518
2016/3/15,AUD ,24.550244
2016/3/16,AUD ,24.887135
2016/3/17,AUD ,25.016819
2016/3/18,AUD ,24.744468
2016/3/21,AUD ,24.665856
2016/3/22,AUD ,24.78405
2016/3/23,AUD ,24.569888
2016/3/24,AUD ,24.639405
2016/3/25,AUD ,24.600713
2016/3/28,AUD ,24.683968
2016/3/29,AUD ,24.939746
2016/3/30,AUD ,24.87646
2016/3/31,AUD ,24.718327
2016/4/1,AUD ,24.843639
2016/4/6,AUD ,24.652676
2016/4/7,AUD ,24.317701
2016/4/8,AUD ,24.51922
2016/4/11,AUD ,24.601925
2016/4/12,AUD ,24.885567
2016/4/13,AUD ,24.757455
2016/4/14,AUD ,24.959502
2016/4/15,AUD ,24.9953
2016/4/18,AUD ,25.10831
2016/4/19,AUD ,25.208645
2016/4/20,AUD ,25.137316
2016/4/21,AUD ,24.990645
2016/4/22,AUD ,24.92643
2016/4/25,AUD ,24.963275
2016/4/26,AUD ,25.078089
2016/4/27,AUD ,24.549855
2016/4/28,AUD ,24.612738
2016/4/29,AUD ,24.562613
2016/4/30,AUD ,24.562613
2016/5/3,AUD ,24.102222
2016/5/4,AUD ,24.127869
2016/5/5,AUD ,24.172668
2016/5/6,AUD ,23.881162
2016/5/9,AUD ,23.716277
2016/5/10,AUD ,23.950795
2016/5/11,AUD ,23.9894
2016/5/12,AUD ,23.837015
2016/5/13,AUD ,23.72889
2016/5/16,AUD ,23.838675
2016/5/17,AUD ,23.901475
2016/5/18,AUD ,23.642445
2016/5/19,AUD ,23.709286
2016/5/20,AUD ,23.660045
2016/5/23,AUD ,23.590694
2016/5/24,AUD ,23.506048
2016/5/25,AUD ,23.50291
2016/5/26,AUD ,23.539418
2016/5/27,AUD ,23.36161
2016/5/30,AUD ,23.474044
2016/5/31,AUD ,23.604542
2016/6/1,AUD ,23.673785
2016/6/2,AUD ,23.575215
2016/6/3,AUD ,24.023364
2016/6/4,AUD ,23.950421
2016/6/6,AUD ,23.873794
2016/6/7,AUD ,24.12166
2016/6/8,AUD ,24.075298
2016/6/13,AUD ,23.959735
2016/6/14,AUD ,23.856843
2016/6/15,AUD ,24.032293
2016/6/16,AUD ,23.849493
2016/6/17,AUD ,23.948708
2016/6/20,AUD ,24.053299
2016/6/21,AUD ,24.03221
2016/6/22,AUD ,24.16575
2016/6/23,AUD ,24.499809
2016/6/24,AUD ,24.278994
2016/6/27,AUD ,23.849942
2016/6/28,AUD ,23.953248
2016/6/29,AUD ,24.098769
2016/6/30,AUD ,24.056299
2016/7/1,AUD ,24.150613
2016/7/4,AUD ,24.281611
2016/7/5,AUD ,24.088828
2016/7/6,AUD ,24.366823
2016/7/7,AUD ,24.161657
2016/7/11,AUD ,24.264338
2016/7/12,AUD ,24.561306
2016/7/13,AUD ,24.484826
2016/7/14,AUD ,24.478114
2016/7/15,AUD ,24.226027
2016/7/18,AUD ,24.312621
2016/7/19,AUD ,24.006046
2016/7/20,AUD ,23.967738
2016/7/21,AUD ,24.02897
2016/7/22,AUD ,23.933841
2016/7/25,AUD ,24.00858
2016/7/26,AUD ,24.085921
2016/7/27,AUD ,24.022139
2016/7/28,AUD ,23.972641
2016/7/29,AUD ,24.254182
2016/7/31,AUD ,24.254182
2016/8/1,AUD ,23.847068
2016/8/2,AUD ,24.10848
2016/8/3,AUD ,24.095075
2016/8/4,AUD ,24.188388
2016/8/5,AUD ,24.053183
2016/8/8,AUD ,24.109831
2016/8/9,AUD ,24.135422
2016/8/10,AUD ,24.04325
2016/8/11,AUD ,24.117887
2016/8/12,AUD ,24.013874
2016/8/15,AUD ,24.073338
2016/8/16,AUD ,24.06996
2016/8/17,AUD ,24.076506
2016/8/18,AUD ,24.144867
2016/8/19,AUD ,24.115049
2016/8/22,AUD ,24.265932
2016/8/23,AUD ,24.144119
2016/8/24,AUD ,24.191201
2016/8/25,AUD ,24.123039
2016/8/26,AUD ,23.975704
2016/8/29,AUD ,24.070177
2016/8/30,AUD ,23.82172
2016/8/31,AUD ,23.854779
2016/9/1,AUD ,23.967027
